Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2010-06-04,18:45:00,2010,Falcon 9,Dragon Spacecraft Qualification Unit,0,LEO,LEO (Other)
2010-12-08,15:43:00,2010,Falcon 9,SpaceX COTS Demo Flight 1 (Dragon C101),0,LEO,LEO (Other)
2012-05-22,07:44:00,2012,Falcon 9,SpaceX COTS Demo Flight 2[14](Dragon C102),525,LEO (ISS),LEO (Other)
2012-10-08,00:35:00,2012,Falcon 9,SpaceX CRS-1[18](Dragon C103),4700,LEO (ISS),LEO (Other)
2013-03-01,15:10:00,2013,Falcon 9,SpaceX CRS-2[18](Dragon C104),4877,LEO (ISS),LEO (Other)
2013-09-29,16:00:00,2013,Falcon 9,CASSIOPE[18][27],500,Polar orbit LEO,LEO (Other)
2013-12-03,22:41:00,2013,Falcon 9,SES-8[18][32][33],3170,GTO,GTO/GEO
2014-01-06,22:06:00,2014,Falcon 9,Thaicom 6[18],3325,GTO,GTO/GEO
2014-04-18,19:25:00,2014,Falcon 9,SpaceX CRS-3[18](Dragon C105),2296,LEO (ISS),LEO (Other)
2014-07-14,15:15:00,2014,Falcon 9,Orbcomm-OG2-1(6 satellites)[18],1316,LEO,LEO (Other)
2014-08-05,08:00:00,2014,Falcon 9,AsiaSat 8[18][51][52],4535,GTO,GTO/GEO
2014-09-07,05:00:00,2014,Falcon 9,AsiaSat 6[18][51][55],4428,GTO,GTO/GEO
2014-09-21,05:52:00,2014,Falcon 9,SpaceX CRS-4[18](Dragon C106.1),2216,LEO (ISS),LEO (Other)
2015-01-10,09:47:00,2015,Falcon 9,SpaceX CRS-5[65](Dragon C107),2395,LEO (ISS),LEO (Other)
2015-02-11,23:03:00,2015,Falcon 9,DSCOVR[65][70],570,Sun–Earth L1 insertion,Other
2015-03-02,03:50:00,2015,Falcon 9,"ABS-3A
Eutelsat 115 West B[65]",4159,GTO,GTO/GEO
2015-04-14,20:10:00,2015,Falcon 9,SpaceX CRS-6[65](Dragon C108.1),1898,LEO (ISS),LEO (Other)
2015-04-27,23:03:00,2015,Falcon 9,TürkmenÄlem 52°E / MonacoSAT[65][84],4707,GTO,GTO/GEO
2015-06-28,14:21:00,2015,Falcon 9,SpaceX CRS-7[65](Dragon C109),0,LEO (ISS),LEO (Other)
2015-12-22,01:29:00,2015,Falcon 9,Orbcomm-OG2-2(11 satellites)[18][94],2034,LEO,LEO (Other)
2016-01-17,18:42:00,2016,Falcon 9,Jason-3[65][101],553,LEO,LEO (Other)
2016-03-04,23:35:00,2016,Falcon 9,SES-9[65][106][107],5271,GTO,GTO/GEO
2016-04-08,20:43:00,2016,Falcon 9,SpaceX CRS-8[65][107](Dragon C110.1),3136,LEO (ISS),LEO (Other)
2016-05-06,05:21:00,2016,Falcon 9,JCSAT-14[119],4696,GTO,GTO/GEO
2016-05-27,21:39:00,2016,Falcon 9,Thaicom 8[126][127],3100,GTO,GTO/GEO
2016-06-15,14:29:00,2016,Falcon 9,"ABS-2A
Eutelsat 117 West B[65]",3600,GTO,GTO/GEO
2016-07-18,04:45:00,2016,Falcon 9,SpaceX CRS-9[65][136](Dragon C111.1),2257,LEO (ISS),LEO (Other)
2016-08-14,05:26:00,2016,Falcon 9,JCSAT-16,4600,GTO,GTO/GEO
2016-09-03,07:00:00,2016,Falcon 9,AMOS-6,0,GTO,GTO/GEO
2017-01-14,17:54:00,2017,Falcon 9,Iridium NEXT-1(10 satellites)[147][148],9600,Polar LEO,LEO (Other)
2017-02-19,14:39:00,2017,Falcon 9,SpaceX CRS-10[136](Dragon C112.1),2490,LEO (ISS),LEO (Other)
2017-03-16,06:00:00,2017,Falcon 9,EchoStar 23,5600,GTO,GTO/GEO
2017-03-30,22:27:00,2017,Falcon 9,SES-10[106][162],5300,GTO,GTO/GEO
2017-05-01,11:15:00,2017,Falcon 9,NROL-76[168],0,LEO[169],LEO (Other)
2017-05-15,23:21:00,2017,Falcon 9,Inmarsat-5 F4[174],6070,GTO,GTO/GEO
2017-06-03,21:07:00,2017,Falcon 9,SpaceX CRS-11[136](Dragon C106.2),2708,LEO (ISS),LEO (Other)
2017-06-23,19:10:00,2017,Falcon 9,BulgariaSat-1[190],3669,GTO,GTO/GEO
2017-06-25,20:25:00,2017,Falcon 9,Iridium NEXT-2(10 satellites),9600,LEO,LEO (Other)
2017-07-05,23:38:00,2017,Falcon 9,Intelsat 35e[195],6761,GTO,GTO/GEO
2017-08-14,16:31:00,2017,Falcon 9,SpaceX CRS-12[136](Dragon C113.1),3310,LEO (ISS),LEO (Other)
2017-08-24,18:51:00,2017,Falcon 9,Formosat-5[204][205],475,SSO,SSO (Other)
2017-09-07,14:00:00,2017,Falcon 9,Boeing X-37B OTV-5,4990,LEO,LEO (Other)
2017-10-09,12:37:00,2017,Falcon 9,Iridium NEXT-3(10 satellites)[147],9600,Polar LEO,LEO (Other)
2017-10-11,22:53:00,2017,Falcon 9,SES-11 / EchoStar 105,5400,GTO,GTO/GEO
2017-10-30,19:34:00,2017,Falcon 9,Koreasat 5A[218],3500,GTO,GTO/GEO
2017-12-15,15:36:00,2017,Falcon 9,SpaceX CRS-13[136](Dragon C108.2),2205,LEO (ISS),LEO (Other)
2017-12-23,01:27:00,2017,Falcon 9,Iridium NEXT-4(10 satellites)[147],9600,Polar LEO,LEO (Other)
2018-01-08,01:00:00,2018,Falcon 9,Zuma[233],0,LEO,LEO (Other)
2018-01-31,21:25:00,2018,Falcon 9,GovSat-1 (SES-16)[239],4230,GTO,GTO/GEO
2018-02-06,20:45:00,2018,Falcon Heavy,Elon Musk's Tesla Roadster[246][247],1250,Heliocentric0.99–1.67 AU[248](close to Mars transfer orbit),Other
2018-02-22,14:17:00,2018,Falcon 9,Paz,2150,SSO,SSO (Other)
2018-03-06,05:33:00,2018,Falcon 9,"Hispasat 30W-6[269]
PODSat[270]",6092,GTO,GTO/GEO
2018-03-30,14:14:00,2018,Falcon 9,Iridium NEXT-5(10 satellites)[147],9600,Polar LEO,LEO (Other)
2018-04-02,20:30:00,2018,Falcon 9,SpaceX CRS-14[136](Dragon C110.2),2647,LEO (ISS),LEO (Other)
2018-04-18,22:51:00,2018,Falcon 9,Transiting Exoplanet Survey Satellite (TESS)[296],362,HEO for P/2 orbit,Other
2018-05-11,20:14:00,2018,Falcon 9,Bangabandhu-1[304][305],3600,GTO,GTO/GEO
2018-05-22,19:47:00,2018,Falcon 9,"Iridium NEXT-6(5 satellites)[147][149]
GRACE-FO × 2[315][316]",6460,Polar LEO,LEO (Other)
2018-06-04,04:45:00,2018,Falcon 9,SES-12[323],5384,GTO,GTO/GEO
2018-06-29,09:42:00,2018,Falcon 9,SpaceX CRS-15(Dragon C111.2),2697,LEO (ISS),LEO (Other)
2018-07-22,05:50:00,2018,Falcon 9,Telstar 19V[333],7075,GTO[335],GTO/GEO
2018-07-25,11:39:00,2018,Falcon 9,Iridium NEXT-7(10 satellites)[147],9600,Polar LEO,LEO (Other)
2018-08-07,05:18:00,2018,Falcon 9,Merah Putih (formerly Telkom-4)[347][348],5800,GTO,GTO/GEO
2018-09-10,04:45:00,2018,Falcon 9,Telstar 18V / Apstar-5C[333],7060,GTO[352],GTO/GEO
2018-10-08,02:22:00,2018,Falcon 9,SAOCOM 1A[356][357],3000,SSO,SSO (Other)
2018-11-15,20:46:00,2018,Falcon 9,Es'hail 2[359],5300,GTO,GTO/GEO
2018-12-03,18:34:00,2018,Falcon 9,SSO-A (SmallSat Express)(SHERPA),4000,SSO,SSO (Other)
2018-12-05,18:16:00,2018,Falcon 9,SpaceX CRS-16(Dragon C112.2),2500,LEO (ISS),LEO (Other)
2018-12-23,13:51:00,2018,Falcon 9,GPS III-01 (Vespucci),4400,MEO,MEO
2019-01-11,15:31:00,2019,Falcon 9,Iridium NEXT-8(10 satellites)[147],9600,Polar LEO,LEO (Other)
2019-02-22,01:45:00,2019,Falcon 9,"Nusantara Satu (PSN-6)[391]
Beresheet Moon lander[392]
S5[393]",4850,GTO,GTO/GEO
2019-03-02,07:49:00,2019,Falcon 9,Crew Dragon Demo-1[405](Dragon C204),12055,LEO (ISS),LEO (Other)
2019-04-11,22:35:00,2019,Falcon Heavy,Arabsat-6A[413],6465,GTO,GTO/GEO
2019-05-04,06:48:00,2019,Falcon 9,SpaceX CRS-17[136](Dragon C113.2),2495,LEO (ISS),LEO (Other)
2019-05-24,02:30:00,2019,Falcon 9,Starlink: v0.9 launch (60 satellites),13620,LEO,LEO (Starlink)
2019-06-12,14:17:00,2019,Falcon 9,RADARSAT Constellation(3 satellites),4200,SSO,SSO (Other)
2019-06-25,06:30:00,2019,Falcon Heavy,Space Test Program Flight 2 (STP-2),3700,LEO / MEO,Other
2019-07-25,22:01:00,2019,Falcon 9,SpaceX CRS-18[136](Dragon C108.3),2268,LEO (ISS),LEO (Other)
2019-08-06,23:23:00,2019,Falcon 9,AMOS-17[464],6500,GTO,GTO/GEO
2019-11-11,14:56:00,2019,Falcon 9,Starlink: Launch 1 (60 satellites),15600,LEO,LEO (Starlink)
2019-12-05,17:29:00,2019,Falcon 9,SpaceX CRS-19[474](Dragon C106.3),2617,LEO (ISS),LEO (Other)
